filename,doi,guest_molecule,KD_A,PLD_A,guest_composition,zeolite_name,std_zeolite_name,si_al_ratio,modified_ion,loading_value,loading_unit,diffusion_coefficient_value,diffusion_coefficient_unit,temperature_value,temperature_unit,concentration_value,concentration_unit,adsorption_loading_value,adsorption_loading_unit,pressure_value,pressure_unit,experimental_method,distinguishing_variable,method_type,method_category
S0009250900005005,10.1016/S0009-2509(00)00500-5,propane,4.3,4.7,,HZSM5 extrudates,MFI-H,22,,,,3.5e-06,m2/s,348.0,K,,,,,,,Pulse Response (CSTR),pellet_radius: 0.06 cm,Experimental,Other
S0009250903001349,10.1016/S0009-2509(03)00134-9,dihydrogen,2.89,7.4,,Pt/NaY,FAU-NaY,,Pt,1.0,wt%,2.2e-07,m2/s,473.0,K,,,,,1,bar,Membrane permeation,,Experimental,Membrane Permeation
S0009250903001349,10.1016/S0009-2509(03)00134-9,carbon monoxide,3.76,7.4,,Pt/NaY,FAU-NaY,,Pt,1.0,wt%,9.2e-08,m2/s,473.0,K,,,,,1,bar,Membrane permeation,,Experimental,Membrane Permeation
S0009250904001885,10.1016/j.ces.2004.03.012,"1,4-dimethylbenzene",5.8,4.7,,ZSM-5 (AA),MFI,,,,,9.8e-12,m2/s,723.0,K,0.00113,mol/L,,,0.0682,bar,Reaction-diffusion model fitting from catalytic xylene isomerization,"model: PFR; D_ratio: D_A=1000, D_B=100, D_C",Experimental,Other
S0009250904001885,10.1016/j.ces.2004.03.012,"1,4-dimethylbenzene",5.8,4.7,,ZSM-5 (AA),MFI,,,,,6e-12,m2/s,723.0,K,0.00113,mol/L,,,0.0682,bar,Reaction-diffusion model fitting from catalytic xylene isomerization,"model: PFR; D_ratio: D_A=1000, D_B=1000, D_C",Experimental,Other
S0009250904001885,10.1016/j.ces.2004.03.012,"1,4-dimethylbenzene",5.8,4.7,,ZSM-5 (AA),MFI,,,,,7.3e-12,m2/s,723.0,K,0.00113,mol/L,,,0.0682,bar,Reaction-diffusion model fitting from catalytic xylene isomerization,"model: CSTR; D_ratio: D_A=1000, D_B=100, D_C",Experimental,Other
S0009250904001885,10.1016/j.ces.2004.03.012,"1,4-dimethylbenzene",5.8,4.7,,ZSM-5 (BA),MFI,,,,,1.4e-10,m2/s,723.0,K,0.00113,mol/L,,,0.0682,bar,Reaction-diffusion model fitting from catalytic xylene isomerization,"model: PFR; D_ratio: D_A=1000, D_B=100, D_C",Experimental,Other
S0009250904001885,10.1016/j.ces.2004.03.012,"1,4-dimethylbenzene",5.8,4.7,,ZSM-5 (BA),MFI,,,,,9.8e-11,m2/s,723.0,K,0.00113,mol/L,,,0.0682,bar,Reaction-diffusion model fitting from catalytic xylene isomerization,"model: PFR; D_ratio: D_A=1000, D_B=1000, D_C",Experimental,Other
S0009250904001885,10.1016/j.ces.2004.03.012,"1,4-dimethylbenzene",5.8,4.7,,ZSM-5 (BA),MFI,,,,,1.7e-10,m2/s,723.0,K,0.00113,mol/L,,,0.0682,bar,Reaction-diffusion model fitting from catalytic xylene isomerization,"model: CSTR; D_ratio: D_A=1000, D_B=100, D_C",Experimental,Other
S0009250904001885,10.1016/j.ces.2004.03.012,"1,4-dimethylbenzene",5.8,4.7,,ZSM-5 (CA),MFI,,,,,4.1e-10,m2/s,723.0,K,0.00113,mol/L,,,0.0682,bar,Reaction-diffusion model fitting from catalytic xylene isomerization,"model: PFR; D_ratio: D_A=1000, D_B=100, D_C",Experimental,Other
S0009250904001885,10.1016/j.ces.2004.03.012,"1,4-dimethylbenzene",5.8,4.7,,ZSM-5 (CA),MFI,,,,,2.2e-10,m2/s,723.0,K,0.00113,mol/L,,,0.0682,bar,Reaction-diffusion model fitting from catalytic xylene isomerization,"model: PFR; D_ratio: D_A=1000, D_B=1000, D_C",Experimental,Other
S0009250904001885,10.1016/j.ces.2004.03.012,"1,4-dimethylbenzene",5.8,4.7,,ZSM-5 (CA),MFI,,,,,5.3e-10,m2/s,723.0,K,0.00113,mol/L,,,0.0682,bar,Reaction-diffusion model fitting from catalytic xylene isomerization,"model: CSTR; D_ratio: D_A=1000, D_B=100, D_C",Experimental,Other
S0009250904001885,10.1016/j.ces.2004.03.012,"1,4-dimethylbenzene",5.8,4.7,,ZSM-5 (DA),MFI,,,,,8.6e-09,m2/s,723.0,K,0.00113,mol/L,,,0.0682,bar,Reaction-diffusion model fitting from catalytic xylene isomerization,"model: PFR; D_ratio: D_A=1000, D_B=100, D_C",Experimental,Other
S0009250904001885,10.1016/j.ces.2004.03.012,"1,4-dimethylbenzene",5.8,4.7,,ZSM-5 (DA),MFI,,,,,4e-09,m2/s,723.0,K,0.00113,mol/L,,,0.0682,bar,Reaction-diffusion model fitting from catalytic xylene isomerization,"model: PFR; D_ratio: D_A=1000, D_B=1000, D_C",Experimental,Other
S0009250904001885,10.1016/j.ces.2004.03.012,"1,4-dimethylbenzene",5.8,4.7,,ZSM-5 (DA),MFI,,,,,1.9e-08,m2/s,723.0,K,0.00113,mol/L,,,0.0682,bar,Reaction-diffusion model fitting from catalytic xylene isomerization,"model: CSTR; D_ratio: D_A=1000, D_B=100, D_C",Experimental,Other
